Jumeau Externe;Gastrocnémien Chef Latéral
Jumeau Interne;Gastrocnémien Chef Médial
Lame horizontale de l'os éthmoïde;Lame criblée de l'os éthmoïdal
Ligament Acromio-coracoïdien;Ligament Coracoacromial
Ligament annulaire;Retinaculum
Ligament Annulaire Dorsal Du Carpe;Rétinaculum Des Extenseurs
Ligament Annulaire Du Carpe;Rétinaculum Des Fléchisseurs Des Doigts
Ligament Annulaire Externe Du Tarse;Rétinaculum Inférieur Des Muscles Fibulaires
Ligament Annulaire Interne Du Tarse;Rétinaculum Des Muscles Fléchisseurs Des Orteils
Ligament Astragalocalcanéen;Ligament Talocalcanéen Interosseux
Ligament Astragalocalcanéen Externe;Ligament Talocalcanéen Latéral
Ligament Astragalocalcanéen Interne;Ligament Talocalcanéen Médial
Ligament Astragalocalcanéen Postérieur;Ligament Talocalcanéen Postérieur
Ligament Astragaloscaphoïdien Supérieur;Ligament Talo-naviculaire Dorsal
Ligament Calcanéoscaphoïdien Plantaire;Ligament Calcanéo-naviculaire Plantaire
Ligament Collatéral Radial;Ligament Latéral Externe
Ligament Collatéral Ulnaire;Ligament Latéral Interne
Ligament Croisé Antéro-externe;Ligament Croisé Antérieur
Ligament Croisé Postéro-interne;Ligament Croisé Postérieur
Ligament Cubitocarpien Antérieur;Ligament Ulnocarpien Palmaire
Ligament de Chopart comportant deux branches : h      lig. calcanéoscaphoïdien h      lig. calcanéocuboïdien;Ligament bifurqué comportant deux parties : h      lig. calcanéonaviculaire h      lig. calcanéocuboïdien
Ligament de Cooper;Ligament pectinéal (ou ligament suspenseur du sein)
Ligament de Lisfranc;Ligament cunéométatarsien (interosseux) médial
Ligament De Sappey;Ligament Coracoglénoïdien
Ligament En Haie;Ligament Talo-calcanéen Interosseux
Ligament En V De Bertin;Ligament Ilio-fémoral
Ligament En Y De Chopart;Ligament Bifurqué
Ligament Latéral Externe;Ligament Collatéral Radial
Ligament Latéral Externe Du Genou;Ligament Collatéral Fibulaire
Ligament Latéral Interne;Ligament Collatéral Ulnaire
Ligament Latéral Interne Du Genou;Ligament Collatéral Tibial
Ligament Péronéo-calcanéen;Ligament Calcanéo-fibulaire
Ligament Péronéotibial Antérieur;Ligament Tibiofibulaire Antérieur
Ligament Péronéotibial Postérieur;Ligament Tibiofibulaire Postérieur
Ligament radiocubital antérieur / Ligament Radio-cubital Antérieur;Ligament radio-ulnaire palmaire
Ligament radiocubital postérieur / Ligament Radio-cubital Postérieur;Ligament radio-ulnaire dorsal
Ligament Rond;Ligament De La Tête Fémorale
Ligament Rotulien;Ligament Patellaire
Ligament Suspenseur De La Tête Humérale;Ligament Coracohuméral
Ligament Triangulaire;Disque Articulaire
Ligaments de Cooper;Rétinaculum de la peau mammaire
Ligaments intermétatarsiens;Ligaments métatarsiens transverses
Lobe de l'insula;Insula
Lobe limbique de Broca;Lobe limbique
Long Péronier;Long Fibulaire
Longue Apophyse Du Calcanéum;Rostrum Du Calcanéus
Longue Portion Du Biceps;Chef Long Du Biceps
Longue Portion Du Triceps;Long Chef Du Triceps
Malléole Externe;Malléole Latérale
Malléole Interne;Malléole Médiale
Membrane de Bowman;Lame limitante antérieure
Membrane de Bruch;Lame basale
Membrane de Descernet;Lame limitante postérieure
Ménisque Externe;Ménisque Latéral
Ménisque Interne;Ménisque Médial
Muscle Abducteur du Gros Orteil;Muscle Abducteur de l'Hallux
Muscle Adducteur du Gros Orteil;Muscle Adducteur de l'Hallux
Muscle Angulaire De L'omoplate;Muscle Elévateur De La Scapula
Muscle Biceps Crural;Muscle Biceps Fémoral
Muscle Brachial Antérieur;Muscle Brachial
Muscle Carré Crural;Muscle Carré Fémoral
Muscle Chair Carré de Sylvius;Muscle Carré Plantaire
Muscle Court Extenseur du Coude;Muscle Anconé
Muscle Court Extenseur du Gros Orteil;Muscle Court Extenseur de l'Hallux
Muscle Court Fléchisseur Du Gros Orteil;Muscle Court Fléchisseur De L'hallux
Muscle Court Fléchisseur Plantaire;Muscle Court Fléchisseur Des Orteils
Muscle Court Péronier Latéral;Muscle Court Fibulaire
Muscle Court Radial;Muscle Court Extenseur Radial Du Carpe
Muscle Court Supinateur;Muscle Supinateur
Muscle Couturier;Muscle Sartorius
Muscle Crural;Vaste Intermédiaire
Muscle Cubital Antérieur;Muscle Fléchisseur Ulnaire Du Carpe
Muscle Cubital Postérieur;Muscle Extenseur Ulnaire Du Carpe
Muscle Demi-Membraneux;Muscle Semi-Membraneux
Muscle Demi-Tendineux;Muscle Semi-Tendineux
Muscle Droit Antérieur;Muscle Droit de la Cuisse
Muscle Droit Interne;Muscle Gracile
Muscle Extenseur Commun Des Orteils;Muscle Long Extenseur Des Orteils
Muscle Fléchisseur Commun Profond Des Doigts;Muscle Fléchisseur Profond Des Doigts
Muscle Grand Dentelé;Muscle Dentelé Antérieur
Muscle Grand Oblique;Muscle Oblique Externe de l'Abdomen
Muscle Grand Palmaire;Muscle Fléchisseur Radial Du Carpe
Muscle Jambier Antérieur;Muscle Tibial Antérieur
Muscle Jambier Postérieur;Muscle Tibial Postérieur
Muscle Long Dorsal;Muscle Longissimus du Thorax
Muscle Long Péronier Latéral;Muscle Long Fibulaire
Muscle Long Radial;Muscle Long Extenseur Radial Du Carpe
Muscle Long Supinateur;Muscle Brachioradial
Muscle Moyen Adducteur;Muscle Long Adducteur
Muscle Palmaire Cutané;Muscle Court Palmaire
Muscle Peaucier du Cou;Muscle Platysma
Muscle Pédieux;Muscles Court Extenseur De L'hallux + Court Extenseur Des Orteils
Muscle Péronier Antérieur;Muscle Troisième Fibulaire
Muscle Petit Adducteur;Muscle Court Adducteur
Muscle Petit Dentelé Inférieur;Muscle Dentelé Postérieur Et Inférieur
Muscle Petit Dentelé Supérieur;Muscle Dentelé Postérieur Et Supérieur
Muscle Petit Oblique;Muscle Oblique Interne de l'Abdomen
Muscle Petit Palmaire;Muscle Long Palmaire
Muscle Plantaire Grêle;Muscle Plantaire
Muscle Psoas;Muscle Grand Psoas
Muscle Pyramidal;Muscle Piriforme
Muscle Scalène Antérieur;Muscle Scalène Ventral
Muscle Scalène Postérieur;Muscle Scalène Dorsal
Muscle Sous Scapulaire;Muscle Subscapulaire
Muscle Sous-Clavier;Muscle Subclavier
Muscle Sous-épineux;Muscle Infraépineux
Muscle Splénius;Muscle Splénius du Cou
Muscle Sterno-cléido-hyoïdien;Muscle Sternohyoïdien
Muscle Sus-epineux;Muscle Supra-épineux
Muscle Vaste Externe Du Triceps;Chef Latéral Du Triceps
Muscle Vaste Interne Du Triceps;Chef Médial Du Triceps
Muscles Petit, Moyen, Grand Fessier;Muscles Petit, Moyen, Grand Glutéal
Muscles Spinaux;Muscles Erecteurs du Rachis
Nerf Circonflexe;Nerf Axillaire
Nerf Cubital;Nerf Ulnaire
Nerf d'Arnold;Rameau méningé du nerf ophtalmique
Nerf Fémoral;Nerf Crural
Nerf Fémoro-cutané;Nerf Cutané Latéral De La Cuisse
Nerf Génito-fémoral;Nerf Génito-crural
Nerf Grand Sciatique;Nerf Sciatique
Nerf moteur occulaire commun;Nerf oculo-moteur
Nerf moteur occulaire externe;Nerf abducens
Nerf Musculo-Cutané;Nerf Fibulaire Superficiel
Nerf pathétique;Nerf trochléaire
Nerf pneumo-gastrique;Nerf vague
Nerf Saphène Interne;Nerf Saphène
Nerf Sciatique Poplité Externe;Nerf Fibulaire Commun
Nerf Sciatique Poplité Interne;Nerf Tibial
Nerf spinal;Nerf accessoire
Nerf Sus-scapulaire;Nerf Suprascapulaire
Nerf Tibial Antérieur;Nerf Péronier Ou Fibulaire Profond
Noyau de Bechterew;Noyau vestibulaire supérieur (ou noyau rostral)
Noyau de Burdach;Noyau cunéiforme
Noyau de Cajal;Noyau interstitiel du faisceau longitudinal médial
Noyau de Clarke;Noyau dorsal
Noyau de Darkschewitsch;Noyau commissural (ou pré-interstitiel) du faisceau longitudinal médial
Noyau de Deiters;Noyau vestibulaire latéral
Noyaux latéraux d'Edinger-Westphal;Noyaux viscéraux du nerf oculomoteur
Omoplate;Scapulum - (Scapula)
Organe de Corti;Organe de l'audition
Os Crochu;Os Hamatum
Os Pyramidal;Os Triquetrum
Os Semi-lunaire;Os Lunatum
Péroné;Fibula
Péronier Antérieur;Troisième Fibulaire
Petit Adducteur (ou Deuxième Adducteur);Court Adducteur
Petit complexus;Longissimus de la tête
Petit dentelé inférieur;Dentelé postérieur et inférieur
Petit dentelé supérieur;Dentelé postérieur et supérieur
Petite Cavité Sigmoïde (cubitus);Incisure Radiale
Premier Cunéiforme;Os Cunéiforme Médial
Premier Ou Moyen Adducteur;Long Adducteur
Première Phalange;Phalange Proximale
Psoas Iliaque;Ilio Psoas
Pyramidal;Piriforme
Quadriceps Vaste Externe / Vaste Externe;Vaste Latéral
Quadriceps Vaste Interne / Vaste Interne;Vaste Médial
Région Fessière;Région Glutéale
Renflement lombaire;Intumescence lombale
Rotule;Patella
Ruban de Reil;Lemniscus
Scaphoïde (main);Os scaphoïde
Scaphoïde (pied) / Scaphoïde Du Tarse;Os naviculaire
Sinus longitudinal supérieur;Sinus sagittal supérieur
spinosum;épineux
Tendon D'achille;Tendon Calcanéen
Tractus de Burdach;Faisceau cunéiforme
Triangle de Callot;Triangle hépato-cystique
Trochanter;Grand Trochanter
Trochin;Tubercule Mineur de l'Humérus
Trochiter;Grand Tubercule
Troisième Adducteur;Grand Adducteur
Troisième Cunéiforme;Os Cunéiforme Latéral
Troisième Phalange;Phalange Distale
Trompe d'Eustache;Trompe auditive
Trou borgne;Foramen caecum
Tubercule Des Péroniers;Trochlée Fibulaire
Tubes collecteurs de Bellini;Tubules rénaux
V Deltoïdien;Tubérosité Deltoïdienne
Valve de Bianchi;Pli lacrymal
Valvule de Bauhin;Valvule iléo-caecale
Vertèbre Dorsale;Vertèbre Thoracique
